Age,Annual_Income,Loan_Amount,Debt,Credit_History,Payment_History,Employment_Years,Creditworthy
54,19456,15910,14308,Good,On-Time,5.4,1
38,65605,24785,15917,Good,Occasional Late,2.0,1
53,43500,14292,30690,Average,On-Time,11.1,0
54,15000,20356,4392,Good,On-Time,9.5,1
36,72267,26719,19731,Good,Occasional Late,4.8,1
56,60992,12382,13870,Good,On-Time,8.6,1
32,39295,11838,0,Good,On-Time,6.9,1
30,26030,6056,18936,Good,On-Time,8.9,0
48,73388,7355,23409,Good,Occasional Late,0.6,1
46,62686,1000,4285,Average,On-Time,5.4,0
26,107417,25298,11920,Good,On-Time,5.8,1
54,64244,36089,0,Average,Frequent Late,8.5,0
28,63529,32253,671,Good,Occasional Late,3.5,0
53,51328,1739,21432,Poor,Occasional Late,0.0,0
21,72969,25249,7802,Good,Occasional Late,1.7,0
52,68752,32221,2021,Average,Occasional Late,5.8,0
52,82538,13432,14065,Good,On-Time,6.3,1
52,43531,19014,7298,Good,On-Time,12.7,1
47,45421,1000,7763,Good,Occasional Late,8.3,0
39,44460,20667,18654,Average,Occasional Late,6.3,0
49,72398,7364,1544,Poor,Frequent Late,5.9,0
32,87964,19996,3852,Good,On-Time,10.4,1
52,44906,2388,13387,Good,On-Time,3.6,1
43,45655,23429,20725,Average,On-Time,5.4,0
39,61910,28245,23143,Average,Occasional Late,1.6,0
41,49593,10168,6014,Good,On-Time,11.7,1
43,75945,6631,20436,Average,Occasional Late,7.6,1
22,15000,1000,4943,Good,On-Time,3.2,0
26,36812,15336,28436,Average,On-Time,5.5,0
30,37787,12184,1796,Good,On-Time,8.0,1
25,15000,2490,23956,Good,Occasional Late,5.0,0
38,33800,22530,6092,Good,Frequent Late,3.9,0
47,34867,13500,30119,Average,On-Time,3.4,0
47,50576,7243,17322,Good,On-Time,7.4,1
39,79485,12454,2856,Average,On-Time,4.6,1
55,49609,28713,7300,Average,On-Time,4.2,1
43,32322,24029,19031,Average,On-Time,0.7,0
24,53747,16700,21474,Good,Frequent Late,6.3,0
51,78082,24191,11364,Good,Frequent Late,5.3,0
43,33529,6391,12402,Good,On-Time,4.7,0
46,34967,18324,18825,Average,On-Time,6.8,1
43,67288,19473,13186,Poor,On-Time,9.0,0
43,50126,13302,358,Good,On-Time,8.8,1
24,69245,22355,4683,Poor,On-Time,8.2,0
43,54700,10196,14116,Good,Occasional Late,5.0,0
52,70437,23098,22939,Good,On-Time,3.7,1
33,32228,23519,26544,Good,Occasional Late,1.8,0
45,54734,1000,19016,Average,On-Time,3.6,1
22,50365,29903,14586,Good,Occasional Late,6.1,1
34,28250,1000,18739,Good,Occasional Late,2.9,0
38,20603,11840,5999,Average,On-Time,6.4,1
60,70086,28253,10621,Average,On-Time,2.1,0
29,47279,14827,4583,Good,Occasional Late,0.0,0
32,32510,3338,761,Good,Occasional Late,9.3,1
37,52884,7063,15002,Good,On-Time,4.1,1
60,79816,28269,13670,Good,On-Time,2.7,1
55,15000,1000,18189,Good,On-Time,1.6,0
22,22074,29290,16915,Average,Occasional Late,7.7,0
30,34696,17449,14184,Good,Occasional Late,11.5,0
53,87146,6076,17010,Average,On-Time,4.4,1
23,61217,12169,11616,Good,Occasional Late,5.1,0
55,71881,7828,15716,Good,Occasional Late,10.3,1
32,29916,26662,5465,Good,Occasional Late,0.0,0
57,30370,25324,15327,Good,On-Time,13.9,1
32,64852,1000,18016,Good,On-Time,15.8,1
38,56282,13964,5973,Good,On-Time,0.0,0
47,67072,9368,12466,Poor,On-Time,5.6,0
26,50871,30935,6388,Average,On-Time,3.1,0
43,61119,4499,7261,Good,On-Time,4.9,1
41,58479,34042,1876,Average,On-Time,4.3,0
52,72111,17667,23392,Average,Occasional Late,9.2,0
60,72754,6381,21591,Average,On-Time,5.5,1
47,19363,11227,16837,Good,Occasional Late,2.4,0
37,15000,9984,29750,Good,On-Time,5.3,1
37,77038,5254,10297,Good,On-Time,8.1,1
37,81130,18948,39286,Good,On-Time,1.3,1
53,32546,5721,9952,Good,Occasional Late,0.0,0
33,15000,1000,14297,Poor,Occasional Late,14.0,0
27,57179,14203,8420,Poor,On-Time,3.4,0
34,75478,1000,15351,Good,Occasional Late,5.5,1
21,94547,10478,19521,Good,On-Time,4.4,1
25,66359,8909,10975,Good,On-Time,8.2,1
24,46822,9288,27990,Good,On-Time,13.1,1
51,35351,38010,14152,Average,On-Time,8.3,0
49,55252,18564,14434,Good,On-Time,0.0,1
48,48416,20454,3819,Average,Frequent Late,0.5,0
39,32669,1000,15766,Poor,On-Time,4.4,0
49,100073,11460,10794,Average,On-Time,4.9,1
27,94274,20153,6526,Average,On-Time,0.0,0
57,79993,7755,5012,Average,On-Time,9.3,1
41,34741,27081,36046,Good,On-Time,1.7,0
58,73810,5973,9629,Good,Frequent Late,12.0,0
27,69072,15136,0,Average,Occasional Late,13.3,1
40,64736,12139,5716,Good,On-Time,5.0,1
48,82493,19643,11536,Average,Occasional Late,7.8,0
40,68978,11595,16920,Good,On-Time,1.1,1
38,71280,15291,16993,Good,On-Time,8.5,1
27,69012,15639,18090,Good,On-Time,4.0,1
36,62497,10656,6196,Poor,On-Time,1.7,0
30,15761,22851,15064,Good,On-Time,4.8,0
33,56840,20384,4115,Good,Occasional Late,4.1,1
48,42764,17114,6423,Good,On-Time,4.7,1
46,26843,13695,3741,Average,Frequent Late,9.8,1
45,92000,25965,1305,Poor,Occasional Late,2.9,0
35,93038,15642,21578,Good,Occasional Late,12.9,1
59,84903,14933,18198,Poor,Occasional Late,0.7,0
24,60615,19047,20790,Good,Occasional Late,12.5,0
34,84714,34966,12354,Average,On-Time,1.9,0
25,55265,4596,18991,Good,On-Time,6.0,1
34,59462,25699,0,Good,On-Time,4.0,1
59,30944,1000,19768,Average,Frequent Late,4.6,0
35,63734,20173,13594,Average,On-Time,9.2,0
57,56328,33751,17644,Good,On-Time,12.0,0
40,26342,22887,15420,Average,Occasional Late,10.8,0
48,53874,19706,3117,Poor,On-Time,4.4,0
39,53246,12396,0,Good,Occasional Late,6.7,1
31,94546,18310,5592,Average,On-Time,2.9,0
51,74673,15479,17084,Average,On-Time,2.0,0
59,55252,10140,18211,Good,On-Time,1.4,1
31,60473,15101,0,Poor,On-Time,4.2,0
52,55973,19984,3170,Good,On-Time,7.0,1
31,50536,10328,5491,Average,On-Time,0.0,0
49,31187,9937,8784,Good,On-Time,5.8,1
52,51677,4398,0,Good,Occasional Late,12.1,1
38,38586,21907,0,Average,Frequent Late,10.5,0
50,27493,23453,4603,Average,On-Time,3.7,0
31,66247,20317,12776,Poor,On-Time,0.4,0
24,63608,27652,1375,Poor,On-Time,7.8,0
24,15692,18879,10958,Good,Occasional Late,0.0,0
38,52301,21920,21527,Good,Occasional Late,10.4,1
57,76905,21038,284,Good,On-Time,5.1,1
26,78303,17085,10142,Good,On-Time,13.3,1
39,77568,12692,21223,Good,Frequent Late,0.0,1
49,55856,40142,8236,Poor,Occasional Late,9.7,0
29,36409,13480,6837,Average,On-Time,5.6,0
49,31159,11341,22471,Good,Occasional Late,4.7,1
33,62581,22340,9244,Good,On-Time,0.5,0
53,63344,20519,21940,Average,On-Time,8.4,1
44,83321,3952,15861,Good,Occasional Late,8.7,1
42,79200,29227,8914,Good,On-Time,13.1,1
28,52091,17058,16317,Good,On-Time,10.0,1
39,27627,6891,14884,Good,Frequent Late,3.6,0
55,47980,29888,21188,Good,Occasional Late,2.0,1
21,59779,24257,7065,Average,On-Time,0.5,0
51,50554,5355,12371,Good,Occasional Late,11.9,1
40,42286,35772,11446,Average,Occasional Late,2.9,0
49,60563,24588,18337,Good,On-Time,11.9,1
47,43913,17898,2773,Poor,Frequent Late,8.1,0
38,41183,33902,21153,Good,Occasional Late,7.3,0
33,61852,19593,16197,Good,On-Time,4.8,1
46,46156,17719,148,Good,On-Time,8.6,1
26,60370,11397,22874,Good,Occasional Late,5.9,0
44,61010,23819,32107,Good,Frequent Late,4.5,0
24,29933,22766,21017,Average,On-Time,8.8,0
46,44413,18147,24843,Good,On-Time,5.4,1
46,86631,10100,12768,Good,Occasional Late,2.8,1
24,29434,19299,0,Good,On-Time,8.4,1
51,15000,17302,0,Average,On-Time,5.7,0
37,15000,4665,14296,Poor,Frequent Late,8.0,0
52,55640,3282,6672,Average,Occasional Late,4.2,0
22,55680,23652,3769,Average,Frequent Late,1.2,0
28,52413,1000,11435,Average,Occasional Late,12.9,1
40,81712,20054,17540,Average,On-Time,12.2,1
28,15000,13219,0,Good,Frequent Late,9.5,0
34,63711,31082,7960,Average,On-Time,4.4,0
47,89352,13065,25589,Average,On-Time,4.8,1
26,30189,24595,2322,Good,Frequent Late,11.5,0
48,46644,14031,19828,Average,Occasional Late,4.6,1
25,38436,19137,7637,Good,Frequent Late,3.5,0
28,35324,25368,16912,Good,On-Time,13.5,1
44,47822,13374,21876,Good,Frequent Late,5.8,0
52,86405,27966,18672,Average,Occasional Late,13.1,0
27,95423,8063,20182,Poor,Occasional Late,0.4,0
32,47609,20946,1636,Good,Frequent Late,8.1,0
58,96911,27226,22023,Good,On-Time,14.3,1
60,55783,24600,4326,Good,Occasional Late,6.1,1
44,93581,37164,14336,Good,Occasional Late,4.9,1
38,52947,10366,14324,Poor,Occasional Late,1.3,0
34,57883,4209,16366,Good,Frequent Late,10.3,0
45,63040,8057,15033,Good,Occasional Late,2.9,1
44,124935,24604,4406,Good,On-Time,5.6,1
32,73728,22979,0,Poor,On-Time,1.1,0
21,39440,19023,19851,Good,Frequent Late,12.2,0
27,76318,6770,13673,Average,Frequent Late,10.6,0
59,47040,25669,22344,Good,Frequent Late,5.9,0
37,44225,5753,11597,Good,On-Time,1.4,1
40,74989,29589,0,Average,On-Time,12.1,1
39,55684,46574,20695,Good,Occasional Late,4.5,0
52,61129,21665,8667,Average,Occasional Late,1.6,0
23,55308,23831,15078,Good,On-Time,0.0,0
24,62405,13071,6173,Average,Occasional Late,3.4,0
32,64349,1000,26799,Average,On-Time,0.2,0
40,15000,11973,4111,Average,On-Time,3.5,0
47,69665,7071,8963,Good,On-Time,9.0,1
40,33396,3530,12967,Average,On-Time,4.5,0
38,23269,35224,2170,Poor,On-Time,7.4,1
58,53715,20729,14975,Good,Frequent Late,3.1,0
27,56848,21797,26507,Good,Occasional Late,6.3,0
43,39743,14910,7586,Average,Frequent Late,13.7,0
42,73283,16271,15556,Good,On-Time,4.6,1
39,25472,27646,0,Average,On-Time,7.5,0
53,46047,17677,11650,Average,On-Time,0.0,1
31,42133,23307,9183,Good,Occasional Late,12.1,1
59,53975,16040,4634,Average,On-Time,4.1,1
34,61135,14578,21733,Average,Occasional Late,10.2,1
42,32826,3931,9064,Good,Occasional Late,5.5,1
41,70934,1000,10403,Poor,Occasional Late,8.4,0
54,56386,15384,8605,Good,On-Time,8.7,1
38,15000,18565,0,Good,On-Time,4.2,0
32,15000,5139,1812,Average,On-Time,10.4,1
21,54729,17655,20650,Good,On-Time,3.0,0
35,50139,18538,0,Average,Occasional Late,9.1,0
54,52725,1000,5103,Good,On-Time,4.4,1
21,54384,8849,8403,Good,Occasional Late,7.4,1
56,59962,22073,27693,Good,On-Time,4.2,0
42,75848,21871,18917,Average,Frequent Late,6.2,0
26,30556,6463,6985,Average,Frequent Late,1.7,0
33,29217,19584,23741,Average,On-Time,7.0,0
43,30947,28224,5335,Poor,Occasional Late,6.2,0
33,61356,25771,21082,Average,On-Time,3.8,1
25,82389,17047,0,Average,Occasional Late,5.8,1
47,45511,13320,21659,Good,Occasional Late,6.5,1
47,15000,11707,8345,Poor,Occasional Late,3.5,0
25,17512,22678,2743,Average,Occasional Late,5.5,0
32,36673,19951,10046,Poor,On-Time,2.0,0
30,42730,24294,14496,Good,Occasional Late,15.4,1
47,46015,19319,7547,Good,Occasional Late,10.2,1
50,55849,26188,16986,Average,On-Time,7.1,0
50,48142,18946,6753,Good,On-Time,10.7,1
58,78085,25847,17583,Good,Occasional Late,0.0,1
51,40128,26708,15980,Poor,Occasional Late,0.0,0
33,36029,9955,11452,Good,On-Time,4.4,1
25,65535,1000,8028,Good,Frequent Late,0.5,0
45,21216,33435,13364,Good,Occasional Late,5.1,0
57,63573,20567,16952,Good,On-Time,6.8,1
60,57256,1000,30556,Average,On-Time,9.7,1
30,51756,10862,20455,Poor,Occasional Late,1.4,0
30,89942,25719,20784,Poor,Occasional Late,7.6,0
22,41311,15203,39797,Average,On-Time,6.1,0
26,100327,12879,16644,Average,On-Time,7.4,1
43,50041,32009,16362,Good,Occasional Late,3.9,0
42,26906,7527,18336,Poor,Occasional Late,11.5,0
35,56538,10018,2919,Good,Occasional Late,5.6,1
33,31323,20114,8005,Good,On-Time,13.1,1
54,38461,21905,7444,Poor,Occasional Late,2.8,0
39,63735,22963,17829,Poor,On-Time,9.0,0
53,67223,27112,10432,Good,On-Time,5.8,0
59,41312,19986,13244,Average,Occasional Late,4.7,0
33,76723,22894,21787,Good,Occasional Late,8.5,1
29,80465,15408,19768,Good,On-Time,4.8,0
59,86599,18627,10545,Good,Occasional Late,0.0,0
46,66647,19075,5970,Good,On-Time,0.0,1
32,84995,20151,22217,Average,On-Time,11.1,1
45,15000,25725,18965,Good,On-Time,10.9,1
41,48006,23551,0,Good,On-Time,13.5,1
57,35926,18442,9182,Good,Occasional Late,5.9,1
31,57623,9909,13490,Poor,Occasional Late,0.8,0
60,42428,18677,19009,Average,Occasional Late,4.3,0
58,51345,17720,20191,Poor,On-Time,6.0,0
28,96408,19932,14555,Good,On-Time,2.0,1
27,51266,40065,17267,Average,On-Time,12.6,1
42,64103,12762,12577,Average,Occasional Late,15.0,1
22,49890,22223,5935,Good,On-Time,7.9,1
32,56666,28685,9649,Good,On-Time,6.0,1
38,55132,18980,12171,Good,Occasional Late,0.8,0
59,64863,41378,11688,Good,Occasional Late,12.2,1
60,80637,14220,0,Good,On-Time,6.3,1
27,91243,21241,8423,Good,On-Time,4.8,1
56,61812,10012,12506,Good,Occasional Late,7.9,1
24,67970,14485,9468,Average,On-Time,3.7,1
50,29681,20489,9779,Good,On-Time,6.6,1
54,53067,26463,16392,Good,Occasional Late,0.2,0
56,75686,21191,2289,Average,On-Time,10.3,1
29,74051,30591,0,Good,On-Time,5.6,1
56,59655,17050,8866,Good,On-Time,10.6,1
25,74501,14678,18877,Good,On-Time,5.2,0
41,65797,45040,27188,Good,On-Time,5.5,1
39,81407,21942,19039,Good,On-Time,1.2,1
33,61366,10805,0,Good,On-Time,9.0,1
21,47175,11057,9909,Good,On-Time,2.5,1
51,62389,8573,14310,Poor,Frequent Late,4.1,0
34,15000,27366,13598,Poor,Frequent Late,6.0,0
47,63423,14356,16854,Good,On-Time,6.5,1
37,15000,19274,3747,Good,On-Time,0.0,0
35,17084,17365,12584,Good,Occasional Late,5.1,0
56,64939,25315,15783,Average,Frequent Late,9.2,0
24,65506,9533,19431,Average,Occasional Late,4.5,0
50,29427,7244,4749,Good,On-Time,5.1,1
50,39334,20243,8894,Good,On-Time,6.6,1
36,85152,24010,0,Good,On-Time,5.5,1
31,44351,21325,6407,Poor,Occasional Late,1.9,0
21,104344,9905,7280,Poor,On-Time,5.9,0
58,54958,24775,2824,Good,On-Time,10.0,1
58,63977,10561,13491,Average,On-Time,1.8,1
30,90571,12785,11496,Good,On-Time,4.5,1
22,57883,8560,0,Average,Occasional Late,0.5,0
25,32948,31012,13940,Poor,On-Time,9.8,0
23,52586,24334,3645,Good,Occasional Late,5.6,0
54,54217,24050,16371,Good,Occasional Late,2.6,0
56,24976,30472,463,Average,Occasional Late,6.4,0
27,49372,46126,12270,Good,On-Time,1.2,0
50,38672,1000,9452,Average,Occasional Late,1.9,0
28,75336,10616,14728,Good,Occasional Late,0.2,1
35,55761,11838,13122,Poor,On-Time,1.7,0
44,48778,9492,9704,Good,On-Time,11.4,1
49,52664,7224,0,Good,Occasional Late,3.1,0
55,59909,15003,0,Good,On-Time,7.9,1
22,68570,5834,6745,Good,On-Time,2.7,1
28,33006,21350,11925,Good,On-Time,9.0,0
32,32085,18517,6526,Average,On-Time,1.9,0
33,79303,22810,17627,Good,On-Time,6.2,1
60,45929,23077,9487,Good,Occasional Late,6.2,0
52,23829,24030,3315,Good,On-Time,15.3,1
33,64764,14266,9497,Good,Occasional Late,8.5,1
59,65194,39211,14033,Poor,On-Time,3.6,0
40,21324,20344,14924,Poor,On-Time,8.7,0
41,60049,1000,28905,Good,On-Time,14.6,1
38,71183,7976,5980,Average,Occasional Late,0.0,0
26,63237,1000,11339,Average,Frequent Late,2.6,0
58,68904,18173,15835,Poor,On-Time,5.1,0
21,24106,16782,11789,Good,On-Time,4.3,0
27,62283,13316,7494,Good,On-Time,4.7,0
30,48342,38109,0,Good,On-Time,0.8,1
32,44379,23490,7402,Poor,Occasional Late,11.6,0
26,74152,25261,2337,Average,On-Time,0.3,1
21,87544,8689,0,Good,Frequent Late,5.2,0
48,94476,8009,4839,Good,On-Time,10.2,1
59,83926,18368,2576,Average,On-Time,5.9,1
25,52586,19730,17254,Poor,Occasional Late,2.1,0
32,62760,1000,17410,Good,On-Time,0.6,1
41,71870,16197,3865,Average,Occasional Late,5.1,1
58,57666,18141,9658,Good,On-Time,3.0,1
48,57877,15849,0,Good,Occasional Late,6.8,1
51,73123,9866,7551,Average,On-Time,0.4,0
44,53696,12605,15591,Average,On-Time,9.3,1
37,38956,16231,19424,Poor,Occasional Late,6.5,0
28,45882,18908,5583,Good,On-Time,6.8,1
55,68946,24048,21467,Good,On-Time,11.8,1
53,55066,28809,0,Good,Occasional Late,4.2,1
22,62485,15057,771,Good,On-Time,3.1,0
49,69742,13438,18387,Good,Frequent Late,3.8,0
24,46753,22377,27040,Good,Occasional Late,5.2,0
50,71637,24108,16441,Good,Occasional Late,5.6,1
54,63335,13658,11637,Good,On-Time,2.7,1
26,27834,25904,0,Good,On-Time,0.0,1
38,86731,27796,0,Average,Frequent Late,3.8,0
25,43984,30917,13165,Good,On-Time,7.4,1
43,18588,35783,8777,Average,On-Time,6.5,0
58,32009,9336,2047,Poor,On-Time,10.8,0
24,32537,18139,12590,Average,On-Time,13.8,1
36,56148,18113,13036,Good,On-Time,9.0,1
59,48975,17019,20500,Good,Occasional Late,11.5,1
33,47590,11507,13229,Average,Occasional Late,9.1,0
26,68633,3144,23056,Good,Occasional Late,12.8,1
40,62477,18927,12072,Good,On-Time,13.4,1
41,61953,10316,10962,Good,On-Time,9.8,1
47,64016,18860,21579,Average,On-Time,8.8,1
33,68555,10060,3194,Good,Occasional Late,5.2,1
59,15000,7003,37330,Average,On-Time,5.8,0
41,46982,20343,15377,Good,On-Time,4.6,1
32,15000,19509,15427,Good,On-Time,8.5,0
59,55793,23793,16726,Average,Occasional Late,3.1,0
57,54898,39859,28894,Good,Occasional Late,5.2,0
40,78002,20773,19133,Average,Occasional Late,0.0,0
21,81128,22851,0,Good,On-Time,12.9,1
44,59461,7224,24631,Good,Frequent Late,5.1,0
43,43992,5131,8932,Poor,On-Time,7.8,0
26,65674,33828,12964,Good,On-Time,11.8,1
46,43386,8765,487,Good,On-Time,7.2,1
54,54969,7561,16736,Poor,On-Time,11.8,0
25,76695,17609,6138,Average,On-Time,1.0,0
49,42729,17098,12902,Average,On-Time,15.6,1
26,72725,8975,9443,Good,On-Time,10.3,1
50,69903,14950,29325,Good,Occasional Late,6.8,0
37,33995,30294,29840,Average,Occasional Late,11.7,0
21,76426,9940,12419,Good,Occasional Late,1.3,0
59,70368,4063,12576,Good,On-Time,4.8,1
27,57242,27426,8639,Average,On-Time,11.8,1
44,38229,22923,21954,Good,Occasional Late,0.0,0
28,36097,11795,9040,Good,On-Time,8.2,1
58,43171,2178,8208,Good,On-Time,8.1,1
50,66937,10554,20807,Good,On-Time,13.9,1
53,33976,17453,7155,Average,Occasional Late,0.0,0
38,64625,29657,11660,Poor,On-Time,12.4,0
39,27681,7634,0,Good,Occasional Late,3.8,0
46,50510,17155,18338,Good,On-Time,4.2,1
52,57412,24751,29468,Average,On-Time,1.1,0
54,108793,1000,18491,Good,On-Time,1.6,1
21,24699,28338,25156,Good,On-Time,7.6,0
47,87384,6175,4385,Poor,On-Time,1.6,1
25,58297,21320,14127,Average,Occasional Late,9.0,0
32,64046,20467,3512,Good,On-Time,3.3,1
54,57604,28846,9950,Poor,On-Time,1.1,0
31,64784,23509,18950,Good,Occasional Late,3.9,1
52,51619,1000,12916,Poor,On-Time,7.3,1
39,86989,10152,0,Good,On-Time,4.9,1
30,44958,19382,165,Good,On-Time,6.1,1
34,79909,16050,0,Poor,On-Time,8.8,1
42,40824,22776,16423,Good,On-Time,10.3,1
51,53674,25894,30575,Good,Occasional Late,4.8,0
45,31417,24085,24262,Good,On-Time,1.8,0
58,65011,15857,0,Average,Occasional Late,6.3,0
55,86793,1000,24790,Average,On-Time,7.9,1
51,53298,13445,20428,Good,Occasional Late,0.2,0
45,50669,22164,0,Average,Occasional Late,2.4,0
32,30478,7096,9271,Average,On-Time,3.1,0
37,49956,24313,21860,Good,On-Time,5.2,0
25,19959,27084,16954,Good,On-Time,3.0,1
35,34917,19269,218,Good,Frequent Late,8.8,0
58,59989,1000,17497,Good,Frequent Late,0.0,0
38,84018,5219,0,Good,On-Time,0.0,1
25,116803,36862,9995,Good,Occasional Late,4.7,0
47,42095,12535,22242,Good,On-Time,5.3,1
59,86577,1000,12166,Good,On-Time,0.2,1
55,60363,30352,7510,Average,Occasional Late,3.6,0
31,51673,18134,20004,Good,On-Time,4.4,1
39,64517,29049,20773,Poor,On-Time,4.4,0
42,56362,20770,23790,Poor,Occasional Late,6.6,0
30,57429,22586,19869,Average,On-Time,3.4,0
31,46017,21630,21732,Poor,Occasional Late,11.9,0
30,24242,24975,18596,Poor,On-Time,8.0,0
60,21040,40774,14390,Good,On-Time,2.8,1
50,69371,27710,12806,Average,On-Time,6.4,1
54,48913,2197,9865,Good,Frequent Late,6.5,0
53,41886,22467,1089,Average,On-Time,10.9,1
59,55187,29415,3402,Good,On-Time,3.6,1
25,72489,30027,9462,Good,Occasional Late,9.1,1
56,58968,13734,14173,Good,Frequent Late,6.2,1
23,40567,29649,24967,Poor,Frequent Late,12.0,0
40,81978,27277,11624,Good,On-Time,11.2,1
44,89742,43725,21031,Good,On-Time,6.8,1
35,65880,10500,21714,Good,On-Time,5.0,1
26,76421,12926,9917,Good,Occasional Late,8.0,1
28,82323,14939,17352,Average,Occasional Late,5.3,0
53,79862,13098,9808,Average,Occasional Late,12.7,1
33,68510,9100,23899,Good,On-Time,6.3,1
33,68164,1000,17723,Good,On-Time,4.4,1
57,66433,13653,1286,Good,On-Time,4.2,1
26,30859,21694,13454,Good,On-Time,1.1,0
57,70416,13068,26833,Average,On-Time,8.2,1
57,25172,37354,10369,Average,On-Time,2.7,0
44,37519,18134,16029,Good,Occasional Late,10.4,1
27,83678,30910,16913,Average,Occasional Late,0.8,0
27,73485,20614,2670,Good,Occasional Late,6.5,0
32,87723,26264,16596,Average,Occasional Late,10.6,0
44,49023,20792,0,Good,Occasional Late,0.0,0
27,29651,31688,6369,Average,Occasional Late,14.1,1
39,49710,18559,21682,Good,On-Time,4.3,1
